TaxonName,X1_1_ActivityCycle,X5_1_AdultBodyMass_g,X8_1_AdultForearmLen_mm,X13_1_AdultHeadBodyLen_mm,X2_1_AgeatEyeOpening_d,X3_1_AgeatFirstBirth_d,X18_1_BasalMetRate_mLO2hr,X5_2_BasalMetRateMass_g,X6_1_DietBreadth,X7_1_DispersalAge_d,X9_1_GestationLen_d,X12_1_HabitatBreadth,X22_1_HomeRange_km2,X22_2_HomeRange_Indiv_km2,X14_1_InterbirthInterval_d,X15_1_LitterSize,X16_1_LittersPerYear,X17_1_MaxLongevity_m,X5_3_NeonateBodyMass_g,X13_2_NeonateHeadBodyLen_mm,X10_1_PopulationGrpSize,X23_1_SexualMaturityAge_d,X10_2_SocialGrpSize,X24_1_TeatNumber,X12_2_Terrestriality,X6_2_TrophicLevel,X25_1_WeaningAge_d,X5_4_WeaningBodyMass_g,X13_3_WeaningHeadBodyLen_mm,XHYP_JTE
Tamias minimus,3,3.758172281,NA,4.714562563,3.295836866,NA,4.286753954,3.824284091,4,NA,3.373826185,3,NA,NA,19.10497317,1.599387577,0,4.330206886,0.819779831,3.671733295,NA,2.418567523,NA,2.079441542,2,2,3.353401164,NA,NA,NA
Tamias obscurus,3,4.290322445,NA,4.85288927,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,1.249901736,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA
Tamias ochrogenys,NA,4.518413322,NA,5.017544702,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.079441542,NA,2,NA,NA,NA,NA
Tamias panamintinus,3,3.946037884,NA,4.75350398,3.384390263,NA,NA,NA,6,NA,3.589887505,2,NA,NA,NA,1.396244692,0,NA,1.62924054,NA,NA,NA,NA,NA,2,2,4.341830795,2.872434057,NA,NA
Tamias quadrimaculatus,3,4.426282726,NA,4.942499198,NA,NA,NA,NA,5,NA,3.454738149,2,NA,NA,NA,1.780024213,0,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
Tamias quadrivittatus,3,4.05161102,NA,4.807376066,3.433987204,5.899897354,NA,NA,5,NA,3.456316681,2,NA,NA,NA,1.366091654,0,NA,0.916290732,NA,NA,2.40648762,NA,2.079441542,2,2,3.565304553,NA,NA,NA
Tamias ruficaudus,3,4.095344063,NA,4.822376145,NA,5.899897354,NA,NA,4,NA,NA,2,NA,NA,NA,1.578978705,0,4.564348191,NA,NA,NA,NA,0,NA,2,2,NA,NA,NA,NA
Tamias rufus,3,3.981549068,NA,NA,3.433987204,NA,NA,NA,3,NA,3.491951745,2,NA,NA,NA,NA,0,NA,NA,NA,NA,2.404849677,1.504077397,NA,2,1,3.563205462,NA,NA,NA
Tamias senex,3,4.492561242,NA,4.979832385,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,1.474763009,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
Tamias siskiyou,NA,4.317488114,NA,4.97859408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamias sonomae,NA,4.317488114,NA,4.895074787,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,1.386294361,0,NA,NA,NA,NA,NA,NA,NA,2,1,2.758924176,NA,NA,NA
Tamias speciosus,3,4.108083088,NA,4.825830657,NA,NA,NA,NA,5,NA,NA,2,NA,NA,NA,1.420695788,0,NA,NA,NA,NA,NA,NA,2.079441542,2,2,NA,NA,NA,NA
Tamias striatus,NA,NA,NA,4.986820629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamias townsendii,3,4.370965687,NA,4.936127242,3.33220451,NA,NA,NA,8,NA,3.33220451,3,NA,NA,NA,1.32175584,0,4.430816799,1.25846099,3.753964701,NA,NA,NA,2.079441542,2,2,3.46939299,3.555062306,NA,NA
Tamias umbrinus,NA,3.946424432,NA,4.817535864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.916922612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cratogeomys castanops,NA,5.586611751,NA,5.26035586,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,0.850150929,1.252762968,4.032469159,1.8017098,NA,NA,NA,0,NA,1,1,NA,NA,NA,NA
Cratogeomys merriami,NA,6.040230901,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,0.662687973,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Geomys attwateri,2,4.970229879,NA,5.033961119,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,0.636576829,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Geomys arenarius,NA,5.327876169,NA,5.15149808,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1.549687908,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Geomys breviceps,1,4.91610481,NA,5.014826499,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,0.928219303,0.530628251,NA,NA,NA,NA,2.11712335,NA,NA,1,1,NA,NA,NA,NA
Geomys bursarius,2,5.316893752,NA,5.17631921,NA,NA,5.268115858,5.470167623,3,NA,2.917770732,2,NA,NA,NA,1.1442228,0,4.458987676,1.631199404,NA,NA,2.128484588,0,NA,1,1,3.267948037,3.113515309,NA,NA
Geomys knoxjonesi,NA,5.150339264,NA,5.039935163,NA,NA,NA,NA,2,NA,3.17722015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2.898850119,NA,NA,NA
Geomys personatus,NA,5.983936281,NA,5.21716154,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1.128171091,NA,NA,NA,NA,NA,NA,0,NA,1,1,NA,NA,NA,NA
Geomys pinetis,NA,5.304050898,NA,NA,NA,NA,4.934473933,5.305789381,3,NA,NA,2,NA,NA,NA,0.518793793,0.693147181,NA,1.635105659,NA,NA,2.282166349,0,NA,1,1,NA,NA,NA,NA
Geomys texensis,NA,NA,NA,5.108064439,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA
Orthogeomys cherriei,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Orthogeomys dariensis,NA,6.082196079,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Orthogeomys grandis,NA,6.214588098,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Orthogeomys hispidus,NA,6.214588098,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,0.678033543,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Orthogeomys matagalpae,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Orthogeomys underwoodi,NA,5.521460918,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Pappogeomys alcorni,NA,5.010635294,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Pappogeomys bulleri,NA,5.010635294,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,-0.030459207,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Thomomys bottae,2,4.809742352,NA,5.053439323,NA,4.513602992,4.788491243,4.96284463,4,NA,3.17262244,2,NA,NA,NA,1.528227857,0.693147181,3.988984047,1.16315081,NA,NA,2.303300604,0,NA,1,1,3.293651707,NA,NA,NA
Thomomys bulbivorus,NA,5.885826215,NA,5.295513439,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1.60743591,0,NA,1.811562097,NA,NA,NA,0,2.079441542,1,1,3.460786795,4.45423101,NA,NA
Thomomys clusius,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1.871802177,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Thomomys idahoensis,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Thomomys mazama,NA,4.533351898,NA,4.976664775,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1.332366019,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Thomomys monticola,NA,4.39432569,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1.249901736,0,4.094344562,NA,NA,NA,2.444397895,NA,NA,1,1,NA,NA,NA,NA
Thomomys talpoides,NA,4.650525888,NA,5.024143644,3.228826156,NA,4.852811209,4.65396035,3,NA,2.944438979,2,NA,NA,19.10497317,1.581038438,0,3.80666249,1.147402453,NA,NA,2.333769208,0,2.397895273,1,1,3.211417547,NA,NA,NA
Thomomys townsendii,NA,5.573483946,NA,5.21450088,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1.816452082,0.693147181,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Thomomys umbrinus,NA,4.832783732,NA,NA,NA,NA,4.394449155,4.557029811,3,NA,NA,2,NA,NA,NA,0.78845736,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Zygogeomys trichopus,NA,6.160236386,NA,5.416100402,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Castor canadensis,2,9.805014376,NA,6.626373319,-0.693147181,NA,NA,NA,3,6.593030835,4.71483144,3,NA,NA,NA,1.280933845,0,5.192956851,6.028688075,NA,NA,2.548883119,1.62924054,1.386294361,1,1,3.595983174,NA,NA,NA
Dipodomys agilis,NA,4.097838451,NA,NA,NA,NA,4.159664028,4.110873864,NA,NA,NA,NA,NA,NA,NA,0.955511445,0.693147181,NA,NA,NA,NA,2.312381355,NA,NA,NA,NA,NA,NA,NA,NA
Dipodomys californicus,NA,4.442062848,NA,4.746235626,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,0.955511445,0.693147181,NA,NA,NA,NA,NA,NA,1.791759469,NA,1,NA,NA,NA,NA
Dipodomys compactus,1,3.896909368,NA,5.122832387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.662687973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipodomys deserti,1,4.678699419,NA,4.928050469,2.63905733,NA,4.543188394,4.653007515,5,NA,3.417726684,2,NA,NA,NA,1.211940974,0.916290732,NA,1.406096988,NA,NA,1.98228906,NA,1.791759469,1,1,2.891293746,NA,NA,NA
Dipodomys elator,1,4.661739537,NA,4.783316371,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1.068153081,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
Dipodomys heermanni,1,4.144403762,NA,4.711779921,2.602689685,NA,4.292785501,4.147885329,4,NA,3.433664572,2,NA,NA,NA,1.134622726,0.693147181,3.360375387,1.30833282,NA,NA,1.993173786,0,NA,1,2,2.958693117,3.589059119,NA,NA
Dipodomys ingens,1,4.732771531,NA,4.996062965,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1.562346305,NA,NA,NA,NA,NA,NA,NA,1.791759469,1,2,NA,NA,NA,NA
Dipodomys merriami,1,3.63521493,NA,4.590462557,2.621038824,4.574710979,3.775974161,3.610917913,1,NA,3.426540189,NA,NA,NA,7.348469228,0.871293366,0.559615788,3.17805383,1.190887565,NA,NA,2.050934681,NA,1.791759469,NA,1,2.733287064,2.833213344,NA,NA
Dipodomys microps,1,4.029983803,NA,4.722686519,NA,NA,4.096841442,4.019980147,3,NA,3.433664572,2,NA,NA,NA,0.862889955,0,NA,1.386294361,NA,NA,2.235323598,NA,1.609437912,1,2,2.758924176,3.044522438,NA,NA
Dipodomys nelsoni,1,4.476541043,NA,4.848116365,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0.662687973,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Dipodomys nitratoides,1,3.727859754,NA,4.579339426,2.48490665,4.430816799,3.831029846,3.632309103,2,NA,3.49316866,2,NA,NA,NA,0.760805829,NA,NA,1.085189268,NA,NA,2.134572562,0,NA,1,1,2.817660484,2.995732274,NA,NA
Dipodomys ordii,1,3.919991175,NA,4.735496448,NA,NA,4.158414223,3.887730313,5,NA,3.390810289,NA,NA,NA,11.95616996,1.08180517,0.693147181,4.767289035,1.60743591,NA,NA,2.112643117,NA,NA,NA,2,NA,NA,NA,NA
Dipodomys panamintinus,1,4.299595661,NA,4.791317748,2.862200881,NA,4.223616898,4.041295341,NA,NA,3.382354294,2,NA,NA,NA,1.32972401,NA,NA,1.504077397,NA,NA,NA,0,NA,1,NA,3.032607268,NA,NA,NA
Dipodomys phillipsii,1,3.713572067,NA,4.562888794,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,0.951657876,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Dipodomys simulans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipodomys spectabilis,1,4.82518886,NA,4.949752306,2.63905733,NA,NA,NA,4,NA,3.157000421,2,NA,NA,6.480740698,0.982078472,0.693147181,3.583518938,2.046401688,3.688879454,NA,2.395336354,NA,NA,1,2,2.863107776,NA,NA,NA
Dipodomys stephensi,NA,4.226687749,NA,4.757891273,2.63905733,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.985816795,0.693147181,NA,1.481604541,3.688879454,NA,NA,0,NA,NA,1,2.708069139,3.277144733,NA,NA
Dipodomys venustus,NA,4.400848389,NA,4.840163254,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,0.548121409,0.405465108,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Microdipodops megacephalus,1,2.509599262,NA,4.290322445,NA,NA,3.42816383,2.397895273,2,NA,NA,2,NA,NA,NA,1.371180723,NA,4.17438727,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
Microdipodops pallidus,1,2.592265168,NA,4.317488114,NA,NA,2.970414466,2.708050201,2,NA,NA,2,NA,NA,NA,1.358409158,NA,NA,0,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
Perognathus flavescens,NA,2.22028985,NA,4.238300596,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,1.474763009,0.693147181,NA,NA,NA,NA,NA,NA,1.791759469,1,1,NA,NA,NA,NA
Perognathus flavus,1,2.075684493,NA,4.087655574,2.740840024,NA,2.850706502,2.116255515,3,NA,3.258096538,2,NA,NA,NA,1.371180723,0.693147181,4.094344562,NA,NA,NA,NA,0,1.791759469,1,2,3.101352168,NA,NA,NA
Perognathus alticolus,NA,3.177637077,NA,4.324265098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perognathus amplus,NA,2.48240352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perognathus fasciatus,1,2.423917378,NA,4.23902194,NA,NA,NA,NA,3,NA,3.394508394,2,NA,NA,NA,1.701105101,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Perognathus inornatus,1,2.318458442,NA,4.279855472,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,1.386294361,0.693147181,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
Perognathus longimembris,1,2.088153482,NA,NA,2.674148649,NA,2.532108251,2.104134154,1,NA,3.124125488,NA,NA,NA,NA,1.492904096,0,4.601162165,0.223143551,NA,NA,2.198087435,NA,NA,NA,1,2.652862695,1.386294361,NA,NA
Perognathus merriami,1,1.937301775,NA,4.072439727,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1.430311247,NA,3.401197382,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
Perognathus parvus,2,3.070839746,NA,4.401461547,NA,NA,NA,NA,3,NA,3.157000421,2,NA,NA,NA,1.581038438,0.693147181,3.871201011,0.405465108,NA,NA,2.415153604,0,NA,1,2,2.758924176,NA,NA,NA
Chaetodipus arenarius,NA,3.135494216,NA,4.224934132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.068153081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaetodipus artus,NA,NA,NA,4.486499256,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Chaetodipus baileyi,NA,3.347796605,NA,4.542549824,NA,NA,3.63758616,3.370738174,2,NA,NA,NA,NA,NA,NA,1.302912752,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
Chaetodipus californicus,NA,3.135928904,NA,NA,2.708050201,NA,3.065724645,3.091042453,NA,NA,3.225255432,NA,NA,NA,NA,1.386294361,NA,NA,0.405465108,NA,NA,NA,NA,NA,NA,NA,2.84386698,2.302585093,NA,NA
Chaetodipus eremicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaetodipus fallax,NA,2.95438931,NA,4.423048609,NA,NA,3.407841924,2.990719732,3,NA,3.218875825,1,NA,NA,NA,1.238374231,0,4.601162165,NA,NA,NA,2.264705785,0,NA,1,1,NA,NA,NA,NA
Chaetodipus formosus,NA,2.996731774,NA,5.267394134,NA,NA,NA,NA,NA,NA,3.33220451,NA,NA,NA,NA,1.663926098,0,4.094344562,0,NA,NA,2.435930209,NA,NA,NA,NA,2.758924176,2.079441542,NA,NA
Chaetodipus goldmani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaetodipus hispidus,NA,3.617383452,NA,4.649282761,NA,NA,3.879706404,3.621670704,1,NA,NA,2,NA,NA,NA,1.675225653,0.693147181,NA,NA,NA,NA,NA,0,NA,1,1,3.113434583,NA,NA,NA
Chaetodipus intermedius,NA,2.70404218,NA,NA,NA,NA,2.748552144,2.681021529,NA,NA,NA,NA,NA,NA,NA,1.710187816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaetodipus lineatus,1,3.135494216,NA,4.29837325,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Chaetodipus nelsoni,1,2.742773637,NA,4.379899374,NA,NA,NA,NA,3,NA,3.421979921,2,NA,NA,NA,1.241268589,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
Chaetodipus penicillatus,NA,2.745345986,NA,4.348469851,2.63905733,NA,3.109060959,2.772588722,NA,NA,3.258096538,NA,NA,NA,NA,1.223775432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaetodipus pernix,NA,2.833213344,NA,4.274858931,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Chaetodipus rudinoris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaetodipus spinatus,NA,2.793616089,NA,4.426760966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.252762968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteromys anomalus,1,4.234975692,NA,NA,3.044522438,NA,4.609958703,4.238444906,3,NA,NA,1,NA,NA,NA,1.040276712,NA,NA,1.190887565,NA,NA,NA,0,NA,1,2,NA,NA,NA,NA
Heteromys australis,1,5.589082182,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1.011600912,NA,NA,NA,NA,NA,NA,0,NA,1,1,NA,NA,NA,NA
Heteromys desmarestianus,1,4.304065093,NA,NA,2.944438979,NA,4.595018835,4.328098293,2,NA,3.327191968,1,NA,NA,NA,1.118414916,1.178654996,NA,1.098612289,NA,NA,2.339153741,0,NA,1,1,3.099271421,NA,NA,NA
Heteromys gaumeri,NA,4.152456225,NA,4.747970985,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1.08180517,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Heteromys oresterus,NA,4.314817885,NA,4.700843936,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1.226712291,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Liomys adspersus,NA,3.931629535,NA,4.825269107,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.16315081,0.364643114,3.044522438,NA,NA,NA,2.304053745,NA,NA,1,NA,NA,NA,NA,NA
Liomys irroratus,NA,3.890799369,NA,4.749703337,NA,NA,3.986573737,3.873282177,NA,NA,NA,1,NA,NA,NA,1.439835128,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Liomys pictus,1,3.767690635,NA,4.73733815,2.944438979,NA,NA,NA,1,NA,3.225255432,1,NA,NA,NA,1.300191662,NA,NA,0.916290732,NA,NA,2.170373401,0,NA,1,1,2.958693117,3.113515309,NA,NA
Liomys salvini,NA,3.737431495,NA,4.681853411,2.63905733,NA,3.878879787,3.795489189,3,NA,3.320710131,1,NA,NA,NA,1.305626458,0.500775288,NA,0.641853886,NA,NA,NA,NA,NA,1,2,2.916591381,NA,NA,NA
Liomys spectabilis,NA,4.17438727,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Napaeozapus insignis,1,3.102342009,NA,4.496805161,3.258096538,NA,3.678829118,3.091042453,5,NA,3.123685638,2,NA,NA,NA,1.504077397,0.223143551,3.871201011,-0.072570693,3.401197382,NA,2.458133242,NA,2.079441542,1,2,3.27075475,2.186051277,NA,NA
Zapus hudsonius,NA,2.913979772,NA,4.453067408,3.218875825,4.108083088,3.80666249,3.401197382,3,NA,2.903616985,2,NA,NA,NA,1.678963975,0.693147181,4.094344562,-0.248461359,NA,NA,2.031018318,0,NA,1,2,2.924017738,NA,NA,NA
Zapus princeps,NA,3.303216973,NA,4.543932877,NA,NA,NA,NA,3,NA,2.896464272,NA,NA,NA,NA,1.617406082,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3.073728736,NA,NA,NA
Zapus trinotatus,2,3.312366168,NA,4.581901559,NA,NA,NA,NA,3,NA,3.061988069,NA,NA,NA,NA,1.699278616,0,NA,-0.223143551,NA,NA,NA,NA,2.079441542,NA,2,3.113434583,NA,NA,NA
Microtus guatemalensis,NA,3.737431495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microtus californicus,NA,4.050392675,NA,4.933034048,2.302585093,NA,4.222444565,3.784189634,NA,NA,3.05305734,NA,NA,NA,NA,1.483874689,1.609437912,NA,1.187843422,NA,NA,1.780479054,NA,NA,NA,NA,2.589305181,2.938632682,NA,NA
Microtus canicaudus,NA,3.398861322,NA,4.708538719,NA,NA,4.354398468,3.414442608,NA,NA,3.134189017,2,NA,NA,NA,1.530394705,NA,NA,0.88376754,NA,NA,1.766647238,NA,NA,1,NA,2.620741394,2.454447442,NA,NA
Microtus chrotorrhinus,3,3.663305203,NA,4.677490848,NA,NA,NA,NA,1,NA,2.995732274,2,NA,NA,NA,1.2753628,0.693147181,NA,NA,NA,NA,NA,NA,2.079441542,1,1,NA,NA,NA,NA
Microtus longicaudus,1,3.802208139,NA,4.78256295,NA,NA,4.274162989,3.407841924,4,NA,NA,NA,NA,NA,NA,1.553925203,0.641853886,NA,NA,NA,NA,NA,NA,1.791759469,NA,1,NA,NA,NA,NA
Microtus mexicanus,NA,3.551913599,NA,4.71160013,NA,NA,3.84887019,3.360375387,NA,NA,NA,NA,NA,NA,NA,0.845868268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microtus miurus,NA,3.713572067,NA,4.782144136,NA,NA,NA,NA,NA,NA,3.044522438,NA,NA,NA,4.582575695,1.358409158,NA,NA,1.022450928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microtus montanus,2,3.757705645,NA,4.821651594,NA,NA,4.40207433,3.42751469,NA,NA,3.050693832,NA,NA,NA,4.716990566,1.711994501,1.560247668,NA,1.358409158,NA,NA,1.79311721,NA,NA,NA,NA,2.466212074,2.233235015,NA,NA
Microtus oaxacensis,NA,3.597860056,NA,4.796203683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.182321557,NA,NA,NA,NA,NA,NA,NA,1.791759469,NA,NA,NA,NA,NA,NA
Microtus ochrogaster,1,3.749504076,NA,4.802954903,2.1102132,NA,4.412434591,3.858622229,4,NA,3.068052935,2,NA,NA,5.099019514,1.353254507,1.403642999,NA,1.078409581,3.48093235,NA,1.894408308,1.011600912,1.791759469,1,2,2.758924176,2.717340248,NA,NA
Microtus oeconomus,2,3.499533282,NA,4.753934959,2.197224577,3.737669618,4.611748501,3.517497837,NA,NA,3.068517943,NA,NA,NA,4.811444689,1.726331664,1.252762968,3.072693315,0.850150929,NA,NA,1.950268322,NA,NA,NA,NA,2.714417617,2.747270914,NA,NA
Microtus oregoni,NA,3.013080912,NA,4.597339607,2.376764491,NA,NA,NA,2,NA,3.170945291,2,NA,NA,6.224949799,1.199964783,1.568615918,2.708050201,0.524728529,NA,NA,1.879654876,NA,NA,1,1,2.404966567,NA,NA,NA
Microtus pennsylvanicus,2,3.750209709,NA,4.770091228,2.079441542,3.80666249,4.65937424,4.062165664,5,NA,3.055886196,NA,NA,NA,4.603259715,1.640936579,0.993251773,2.397895273,0.875468737,NA,NA,1.859456296,NA,NA,NA,2,2.346501509,2.575661013,NA,NA
